dataSource,value_O_wells,units_wells,value_O_heads,units_heads,value_O_drains,units_drains,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11
000018c0c8747e51ed8a454641757d12.csv,2950000000,ft3 (total for entire model),782.97394,feet (monthly average),18.620502,cfs,1.9,1.5,2,1.9,2,1.1,1.8,0.6,1.8,1.9,1.9
00033ef200dcc2d44654a3c973055405.csv,3220000000,ft3 (total for entire model),781.3763,feet (monthly average),18.139769,cfs,2,1.5,1.9,2,1.9,2,1.9,0.7,2,2,1.9
00098f955aceb3833d19c83d4b498739.csv,4470000000,ft3 (total for entire model),775.1293,feet (monthly average),15.80884,cfs,1.9,1.5,2,2,2,1.9,2,1.7,1.9,1.9,1.9
000b8af36f663b77a1fa7fe3e63ac2aa.csv,2900000000,ft3 (total for entire model),783.1942,feet (monthly average),18.542866,cfs,2,1.5,1.9,2,2,1.6,1.8,0.8,2,2,1.5
000f0688fba727b8366115faa11b8cc9.csv,2990000000,ft3 (total for entire model),782.58527,feet (monthly average),18.43783,cfs,2,1.5,1.9,2,2,1.9,2,0.6,1.9,2,1.8
001bb6ae7fa157919820c3905d95b6f4.csv,3220000000,ft3 (total for entire model),781.4167,feet (monthly average),18.150085,cfs,1.9,1.5,2,2,1.3,2,1.9,0.7,2,1.9,1.9
001c34efb7273ad3aa0941af52fbc259.csv,3030000000,ft3 (total for entire model),782.99567,feet (monthly average),18.405943,cfs,2,1.9,1.9,2,1.9,1.4,2,0.6,2,2,1.9
003378396abb360238c193575089571a.csv,3390000000,ft3 (total for entire model),781.1017,feet (monthly average),17.83542,cfs,1.9,1.9,2,2,2,2,1.9,0.9,1.9,1.9,1.8
0037416a42312cb1bc6224a3d653ad3e.csv,3240000000,ft3 (total for entire model),781.7879,feet (monthly average),18.051592,cfs,2,1.9,1.9,2,1.3,2,2,0.7,1.9,2,1.9
0037bc362747720643c1456501dc6c14.csv,3190000000,ft3 (total for entire model),782.1202,feet (monthly average),18.199492,cfs,1.9,1.8,1.9,2,1.9,1.9,2,0.6,1.9,0.9,2
00408aca29a651b9946cde76dc36f79e.csv,3230000000,ft3 (total for entire model),781.8025,feet (monthly average),18.095816,cfs,2,1.7,1.9,1.9,2,2,2,0.7,1.9,2,1.9
0047d7e0aec9090d81e06f02c02a8bfd.csv,3190000000,ft3 (total for entire model),781.4145,feet (monthly average),18.177347,cfs,2,1.5,2,1.3,1.9,1.9,2,0.7,2,2,1.9
00491d2d5e3e61ba8082dcefa2e266ec.csv,3490000000,ft3 (total for entire model),781.6633,feet (monthly average),18.110985,cfs,1,1,1,1,2,1,2,1,1.2,1,2
0054f31c9929e64a91bc9831f093e9f2.csv,3310000000,ft3 (total for entire model),781.1547,feet (monthly average),18.06955,cfs,1.9,1.4,1.5,1.9,2,1.8,2,0.8,2,2,1.9
005c00b76ae9690a18700e0b69ee753e.csv,3090000000,ft3 (total for entire model),783.30194,feet (monthly average),18.376835,cfs,0.6,1.5,2,1.9,2,2,1.8,0.6,1.8,1.9,1.9
005cd56192e5593ba23efd7133d88731.csv,3320000000,ft3 (total for entire model),781.03815,feet (monthly average),18.053072,cfs,1.9,1.4,1.9,1.9,2,1.8,2,0.8,2,2,1.9
005df4522485246401458b150c6c4c14.csv,3120000000,ft3 (total for entire model),782.5039,feet (monthly average),18.229465,cfs,1.9,1.9,1.9,2,2,2,2,0.6,1.3,2,1.9
007147373c216a2f6690bcef9d0afb11.csv,3490000000,ft3 (total for entire model),781.64996,feet (monthly average),18.105833,cfs,1,1,1,1,1,1,2,1,1.7,1,2
0071c70617da7bcfcc7e1e31eaa412a0.csv,3180000000,ft3 (total for entire model),783.0897,feet (monthly average),18.131706,cfs,1.1,1.9,2,1.9,1.9,2,2,0.8,2,2,1.7
00799e391a49df5905af0baa0b3d17d3.csv,3030000000,ft3 (total for entire model),782.73926,feet (monthly average),18.518606,cfs,1.9,0.9,1.9,2,1.9,1.9,2,0.5,1.9,1.9,2
007b82a60f268d1c20c8cd3a81c22c6a.csv,3190000000,ft3 (total for entire model),781.52655,feet (monthly average),18.218096,cfs,2,1.5,1.9,2,2,2,1.9,0.6,1.3,1.9,2
007b8a1c4a8bc0f4a3a160070f229205.csv,3190000000,ft3 (total for entire model),781.7865,feet (monthly average),18.228857,cfs,1.9,1.5,1.4,2,2,1.8,1.9,0.7,1.9,1.9,1.9
007f73cd64b313e99b29949322c2607a.csv,3260000000,ft3 (total for entire model),781.4378,feet (monthly average),18.223618,cfs,1.9,1.5,2,2,2,1.2,2,0.9,0.5,2,1.8
00940605a94fd9ea803c96cfab0db5ed.csv,3340000000,ft3 (total for entire model),781.4338,feet (monthly average),18.083736,cfs,2,2,2,1.9,1.9,1,2,0.9,1.9,1.9,1.9
00b16fddec27e5c88db71ccc943e4e60.csv,3390000000,ft3 (total for entire model),781.163,feet (monthly average),17.939499,cfs,1.9,1.9,2,2,1.9,1.5,2,0.8,2,2,2
00b4aeba18c13afd6b58414cb27d2a46.csv,2090000000,ft3 (total for entire model),787.9966,feet (monthly average),19.375662,cfs,2,1.9,2,2,2,1.9,1.9,0.7,1.9,1.9,0.7
00b53cc27c03c0a4422bc34b21e87b75.csv,3200000000,ft3 (total for entire model),781.83575,feet (monthly average),18.07662,cfs,1.9,1.9,2,0.5,2,2,2,0.7,2,1.9,1.9
00b8b41064ce1400db60b3af2ed5f6b6.csv,3130000000,ft3 (total for entire model),781.86127,feet (monthly average),18.249994,cfs,2,1.5,1.9,1.9,1.3,2,2,0.7,1.9,2,1.8
00bd68d6934a91455e0a85d7dce1a417.csv,3060000000,ft3 (total for entire model),782.8001,feet (monthly average),18.339384,cfs,2,1.9,1.9,2,1.9,1.6,2,0.6,2,2,1.9
00bdafa0ab3af94d4dd9a40018920251.csv,3180000000,ft3 (total for entire model),782.0933,feet (monthly average),18.351528,cfs,2,0.6,1.9,2,1.9,1.9,2,0.7,2,2,1.9
00c6cfc07e1b7a19df0ceb94eacde688.csv,3040000000,ft3 (total for entire model),782.56506,feet (monthly average),18.45293,cfs,1.9,1.5,1.9,2,2,1.2,2,0.8,2,2,1.7
00cf3e7d106d2059f8b12584b457b44c.csv,3370000000,ft3 (total for entire model),781.2374,feet (monthly average),18.003975,cfs,2,1.8,2,1.9,1.9,1.4,2,0.8,2,1.9,2
00ea0c14f4456f2ed3ff10c0f54865a2.csv,2270000000,ft3 (total for entire model),787.07056,feet (monthly average),19.188786,cfs,1.9,1.8,2,1.9,2,1.9,1.9,0.7,1.9,1.9,0.9
00eac92f4960467d47f306b4edb99298.csv,3210000000,ft3 (total for entire model),781.9852,feet (monthly average),18.10068,cfs,1.9,1.9,1.9,1.5,1.9,1.9,1.9,0.7,1.9,2,1.9
00f4cfc8f8981aaab9aeacec722fe85d.csv,3250000000,ft3 (total for entire model),781.5137,feet (monthly average),18.27667,cfs,2,1.5,1,1,2,1,2,0.8,1.9,0.8,2
00f8b406049c56c11377c3079de4f0ab.csv,3090000000,ft3 (total for entire model),782.11414,feet (monthly average),18.37191,cfs,2,1.5,1.9,2,1.9,1.9,2,0.6,0.6,1.9,1.9
00f90165567dc133f4389e5aa658d300.csv,3300000000,ft3 (total for entire model),781.1131,feet (monthly average),18.13498,cfs,2,1.5,2,1.9,2,1.4,1,0.8,2,1.9,2
00fc39ebaa8812d8c96a44809b8eebcf.csv,3100000000,ft3 (total for entire model),782.54535,feet (monthly average),18.25494,cfs,1.9,1.9,2,1.9,0.9,1.9,2,0.6,1.9,2,1.9
00fd7196b01eb4f5cca4892d1a450647.csv,3110000000,ft3 (total for entire model),782.0274,feet (monthly average),18.27413,cfs,2,1.5,1.9,2,2,2,1.5,0.7,2,2,1.8
00ffdf4eb3b34b21436669d1efc2bd56.csv,3380000000,ft3 (total for entire model),781.44135,feet (monthly average),18.035835,cfs,1.3,1.5,1.9,2,2,1.6,1.9,0.8,1.9,2,2
01049e69ddda2aa94b8bb88d52fcbd82.csv,3240000000,ft3 (total for entire model),781.3704,feet (monthly average),18.2188,cfs,2,1.5,1.9,2,2,1.5,1.9,0.7,1.4,1.9,2
010fe0d854bdbba866074c75a08d337f.csv,2530000000,ft3 (total for entire model),785.1132,feet (monthly average),18.958061,cfs,1.9,1.5,2,1.9,1.9,1.8,1.9,0.7,2,2,1.2
011268bf3429883005269f3cc2ed471e.csv,3060000000,ft3 (total for entire model),782.03394,feet (monthly average),18.333384,cfs,2,1.5,1.9,0.6,1.9,2,1.9,0.6,2,1.9,1.9
011ee9a3896cf45895c16ae49ad0329d.csv,3100000000,ft3 (total for entire model),782.5922,feet (monthly average),18.285992,cfs,1.9,1.9,2,2,2,1.9,2,0.6,0.5,1.9,1.9
0121c6eab5118eacfc6bd8a547ea4208.csv,3060000000,ft3 (total for entire model),782.707,feet (monthly average),18.491085,cfs,2,0.6,2,2,1.9,2,1.9,0.6,1.9,1.9,1.9
013ed9d278424c74797b27f40bda0ea6.csv,3270000000,ft3 (total for entire model),781.18646,feet (monthly average),18.139727,cfs,1.9,1.5,2,1.9,1.9,1.7,1.9,0.7,1.9,2,2
014a1aad0d673ac3357b05ae62155d6a.csv,3400000000,ft3 (total for entire model),780.5512,feet (monthly average),17.94457,cfs,1.9,1.5,1.9,2,2,1.7,2,0.8,2,2,2
014d39dad2302fc967e86a73bf041ee4.csv,3050000000,ft3 (total for entire model),782.82904,feet (monthly average),18.520716,cfs,1.9,0.6,2,2,2,1.9,2,0.6,1.9,1.9,1.9
01540f5a74d166e3d1d808c9334ce8f7.csv,2330000000,ft3 (total for entire model),786.30536,feet (monthly average),19.205528,cfs,2,1.5,2,2,1.9,1.5,2,0.8,1.9,2,0.9
016ba1ef37987d8a7f6dbcc9c5471494.csv,3090000000,ft3 (total for entire model),782.4423,feet (monthly average),18.34212,cfs,1.9,1.5,0.5,1.9,1.9,2,2,0.6,2,1.9,1.9
0172b74566040af8a0f39fb13d32a0bc.csv,4950000000,ft3 (total for entire model),773.1617,feet (monthly average),15.036542,cfs,1.9,1.9,1.9,1.9,1.9,2,1.9,2,1.9,2,2
0172e84f80f6c2fb7bb21e68dfaed430.csv,4450000000,ft3 (total for entire model),775.68854,feet (monthly average),16.0011,cfs,2,1.8,2,1.9,1.9,1.8,1.9,1.7,2,2,1.9
017512ab9d8658563e1bbc4cb0bf9bd8.csv,3100000000,ft3 (total for entire model),782.1556,feet (monthly average),18.40625,cfs,2,1.5,1.9,2,1.9,1.2,1.9,0.7,2,2,1.9
0178a474f8ea94bdad26eea389ec6286.csv,3200000000,ft3 (total for entire model),782.0043,feet (monthly average),18.144602,cfs,2,1.9,1.9,2,0.6,1.9,2,0.6,2,2,2
017c55b50730d1cbf82a828bdb904160.csv,3220000000,ft3 (total for entire model),781.4754,feet (monthly average),18.169613,cfs,1.9,1.5,2,2,2,2,1.9,0.7,2,1,1.9
0180dcaecf528d6f5ea421b64c077076.csv,3170000000,ft3 (total for entire model),782.3222,feet (monthly average),18.257515,cfs,1.4,1.5,2,1.9,1.9,1.9,1.9,0.6,1.9,2,2
018b79e1c646e947c2893b0a0567ba1d.csv,3290000000,ft3 (total for entire model),781.5726,feet (monthly average),18.23545,cfs,2,1.5,0.5,2,2,1,2,0.8,2,1.9,2
018de50fffbca176c9346f7dffb0adf8.csv,3220000000,ft3 (total for entire model),781.9585,feet (monthly average),18.091105,cfs,1.9,1.9,2,2,1.9,1.9,1.9,0.7,1.9,1.9,1.9
019ba4cead24c8dcf8ab1cc9be9a7384.csv,3040000000,ft3 (total for entire model),782.46674,feet (monthly average),18.445532,cfs,2,1.5,1.9,2,2,1.4,1.9,0.7,2,2,1.8
019fa36a2c70751207871451b3ad716b.csv,3200000000,ft3 (total for entire model),781.48773,feet (monthly average),18.171566,cfs,1.9,1.4,1.9,1.3,1.9,2,2,0.7,2,2,1.9
01a2179748b223fa302d59e9af3e5503.csv,3090000000,ft3 (total for entire model),782.1024,feet (monthly average),18.345264,cfs,1.9,1.5,2,1.9,0.8,1.9,2,0.6,1.9,2,1.9
01aab8e481bf4e866edc02a7b4471d8e.csv,3270000000,ft3 (total for entire model),783.23865,feet (monthly average),18.24627,cfs,0.6,1.9,1,1,1.9,1,2,0.8,2,1,2
01aba691063ccd68496e83743a57550e.csv,3010000000,ft3 (total for entire model),782.9975,feet (monthly average),18.429031,cfs,2,1.9,2,2,1.9,1.5,2,0.5,2,1.9,2
01b45191c0bc6b654a56d566c08650d7.csv,3230000000,ft3 (total for entire model),781.4173,feet (monthly average),18.152573,cfs,1.9,1.5,1.9,1.9,2,2,2,0.7,1.5,2,1.9
01b7b1c0b843e635d7de46e1b0d384b8.csv,3090000000,ft3 (total for entire model),782.02277,feet (monthly average),18.310448,cfs,2,1.5,1.9,1.9,1.6,2,1.9,0.6,2,1.9,1.9
01b8dbeeff90bf5c6df99cb957e8df2b.csv,3100000000,ft3 (total for entire model),782.02075,feet (monthly average),18.314695,cfs,1.9,1.5,2,2,1.9,2,2,0.6,1.5,1.9,1.9
01bc4b9748f69ca4e1f14cc8591ddb63.csv,3170000000,ft3 (total for entire model),781.60645,feet (monthly average),18.26233,cfs,2,1.5,2,1.9,2,1.9,1.9,0.6,0.9,1.9,2
01d214ee35067b693e61cdac96d7b045.csv,3150000000,ft3 (total for entire model),782.4015,feet (monthly average),18.187563,cfs,1.9,1.9,1.9,2,2,2,2,0.7,0.9,1.9,1.8
01d6142c62a56153deea58bc39b7255a.csv,3290000000,ft3 (total for entire model),781.0335,feet (monthly average),18.154928,cfs,1.9,1.5,1.9,0.9,2,1.2,2,0.8,2,2,2
01d6efae7d13197d4165fed04fa36d47.csv,3490000000,ft3 (total for entire model),781.66644,feet (monthly average),18.113823,cfs,1,1,1,1,2,1,2,1,1.1,1,2
01e6a7a6c84b28070810502af543ef58.csv,3080000000,ft3 (total for entire model),782.703,feet (monthly average),18.346863,cfs,2,1.8,2,1.9,1.9,1.8,1.9,0.6,0.6,2,1.9
01fc9e68a6b0f64dcc8a8955b6c1c57b.csv,3090000000,ft3 (total for entire model),782.58905,feet (monthly average),18.283619,cfs,1.9,1.8,1.9,1.9,1.9,1.9,1.9,0.6,1.9,2,1.9
0202c532e9d5f806bacc080620d53170.csv,3190000000,ft3 (total for entire model),783.0619,feet (monthly average),18.211025,cfs,1,1.8,1.9,1.9,1.9,1.9,2,0.6,1.9,1.9,2
020479eaee8ad509a63b5c072c103fdc.csv,3220000000,ft3 (total for entire model),781.44336,feet (monthly average),18.170094,cfs,1.9,1.5,2,2,1.9,2,1.9,0.7,1.1,1.9,1.9
020c57b4cb10b7ef30ced234788c9364.csv,2300000000,ft3 (total for entire model),786.9033,feet (monthly average),19.121544,cfs,2,1.9,2,2,2,2,2,0.7,1.9,1.9,0.9
021114566be7f43a6bd3a0a91c4c9b54.csv,3190000000,ft3 (total for entire model),781.99054,feet (monthly average),18.159353,cfs,2,1.9,2,1.9,1.9,1.9,1.9,0.6,2,1.3,2
02184b3f607052b0564a2189b7fb00a0.csv,2730000000,ft3 (total for entire model),784.08514,feet (monthly average),18.712652,cfs,1.9,1.5,1.9,2,2,1.9,1.9,0.7,2,1.9,1.4
021a3439cf61a6beff7031a7e11fd4f3.csv,3190000000,ft3 (total for entire model),781.6435,feet (monthly average),18.216942,cfs,2,1.5,1.9,2,1.9,1.6,1.9,0.8,2,2,1.8
021e4fb59556e81c436f197a4445d33d.csv,3060000000,ft3 (total for entire model),782.7901,feet (monthly average),18.239285,cfs,2,1.9,2,1.9,2,1.9,1.9,0.8,2,2,1.6
